title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Pinocembrin",479,Done,0.531,-4.10004,"glide-grid_Sa3ANT_avrg",-4.10004,-0.461905,0,-0,-0.0688486,-43.3999,-9.9227,0.173554,-0.0844428,-55.5808,-53.3226,22.4648
"Pinocembrin",480,"NO POSES STORED FOR LIGAND",0.516,,,,,,,,,,,,,,
"Pinocembrin",481,"GRID-ENERGY MIN FAILED",0.343,,,,,,,,,,,,,,
"Pinocembrin",482,"GRID-ENERGY MIN FAILED",0.391,,,,,,,,,,,,,,
"Pinocembrin",483,"GRID-ENERGY MIN FAILED",0.484,,,,,,,,,,,,,,
"Pinocembrin",484,Done,0.532,-3.51931,"glide-grid_Sa3ANT_avrg",-3.51931,-0.7232,-0.0345455,-0,0,-36.2985,-5.18765,0.173554,-0.342049,-32.403,-41.4861,20.6391
"Pinocembrin",485,"GRID-ENERGY MIN FAILED",0.312,,,,,,,,,,,,,,
"Pinocembrin",486,"GRID-ENERGY MIN FAILED",0.375,,,,,,,,,,,,,,
"Pinocembrin",487,Done,0.609,-5.42812,"glide-grid_Sa3ANT_avrg",-5.42812,-0.153851,-0.232277,-0,0,-35.7407,-22.2147,0.173554,-0.0963025,-73.7657,-57.9554,12.0671
"Pinocembrin",488,"NO POSES STORED FOR LIGAND",0.5,,,,,,,,,,,,,,
"Pinocembrin",489,"GRID-ENERGY MIN FAILED",0.359,,,,,,,,,,,,,,
"Pinocembrin",490,"GRID-ENERGY MIN FAILED",0.328,,,,,,,,,,,,,,
"Pinocembrin",491,Done,0.61,-4.72477,"glide-grid_Sa3ANT_avrg",-4.72477,-0.534824,0,-0,0,-53.3703,-9.13717,0.173554,-0.324408,-74.8353,-62.5075,12.6731
"Pinocembrin",492,"GRID-ENERGY MIN FAILED",0.39,,,,,,,,,,,,,,
"Pinocembrin",493,Done,0.516,-2.27854,"glide-grid_Sa3ANT_avrg",-2.27854,-0.774227,-0.0699875,-0,-0.112195,-5.25833,-5.98119,0.173554,-0.335594,-9.86452,-11.2395,9.33325
"Pinocembrin",494,"GRID-ENERGY MIN FAILED",0.312,,,,,,,,,,,,,,
"Pinocembrin",495,"GRID-ENERGY MIN FAILED",0.406,,,,,,,,,,,,,,
"Pinocembrin",496,"GRID-ENERGY MIN FAILED",0.36,,,,,,,,,,,,,,
"Pinocembrin",497,Done,0.578,-4.20583,"glide-grid_Sa3ANT_avrg",-4.20583,-0.590043,-0.152,-0,0,-23.1709,-14.6847,0.173554,-0.276095,-34.7501,-37.8556,8.43968
"Pinocembrin",498,Done,0.515,-5.34932,"glide-grid_Sa3ANT_avrg",-5.34932,-0.644417,-0.151619,-0,-0.00258788,-23.8519,-21.7415,0.173554,-0.270422,-44.1446,-45.5935,14.4924
"Pinocembrin",499,"GRID-ENERGY MIN FAILED",0.5,,,,,,,,,,,,,,
"Pinocembrin",500,"GRID-ENERGY MIN FAILED",0.422,,,,,,,,,,,,,,
"Pinocembrin",501,"GRID-ENERGY MIN FAILED",0.375,,,,,,,,,,,,,,
"Pinocembrin",502,"GRID-ENERGY MIN FAILED",0.406,,,,,,,,,,,,,,
